Distinta base-BOM ;;;;;;;;;;;;
Cliente;;BERTAN ;2025;;;;;;;;;
NO. Ordine;;17/25;;;;;;;;;;
Materiali installazione;;;;;;;;;;;;
;In casa?;Nome;Codice;Fornitore;Quantità;Costo unitario;Costo totale;Ordine no.;sp. trasp.;;;
1;;Contatore di energia CONTO D4-Pt MID;CE4TBDTMID;BTicino;1; € 160,00 ;€ 160,00;magazzino;;;;
2;;TA (TABB50C100 - TAIBB TA D.21mm-16x12,5mm 100/5A) NON APRIBILE;TABB50C100;BTicino;3; € 8,87 ;€ 26,61;magazzino;;;;
4;;ModBus DataLogger GSM 2G4G;EasyNet;4Next;1; € 264,00 ;€ 264,00;Ord.26/2025;;;;
5;;Schedina di memoria SD 32GB per EasyLogXL;SDCS2/32GB;Amazon;1; € 8,75 ;€ 8,75;;;;;
6;;SIM dati VPN con piano dati I-DATA;I-DATA;1NCE;1; € 15,00 ;€ 15,00;;;;;
7;;;;;;;;;;;;
8;;;;;;;;;;;;
9;;;;;;;;;;;;
10;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;; € 474,36 ;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
CANONI A SERVIZIO;;;;;;;;;;;;
1;;Service tariffa mese;;;1;0,00;0,00;;;;;
2;;Hosting + Servizio monitoraggio per cliente/tariffa mese;;;1;0,00;0,00;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
TOT CANONI;;;;;;;0,00;;;;;
